Variable,Etiqueta_usuario,Familia,SHAP_ABS_MEDIO,SHAP_MEDIO_SIGNADO,SHAP_MEDIANA_ABS,SHAP_P90_ABS,RANK_SHAP,PESO_SHAP_PERCENT
LATITUDE,Latitud aproximada,GEOGRAFIA,0.3015196703550672,-0.10763192908228597,0.23306730389595032,0.5714500427246094,1,24.71251561781664
CONSTRUCTEDAREA,Superficie construida,CARACTERISTICAS_FISICAS,0.2370541525611493,0.02344423844779764,0.17284853756427765,0.5368703901767732,2,19.428929596988198
DISTANCE_TO_URBAN_AXIS,Distancia al eje urbano,GEOGRAFIA,0.07353913683675013,0.0016828452185048567,0.07513805478811264,0.12339732795953753,3,6.027258737245435
DISTANCE_TO_CITY_CENTER,Distancia al centro,GEOGRAFIA,0.0672996231144879,0.015070734740092163,0.059555619955062866,0.12934616655111314,4,5.515868949217978
BATHNUMBER_CLEAN,Baños corregidos,CARACTERISTICAS_FISICAS,0.06326898309712609,0.0022175739306424347,0.05675129219889641,0.09194329157471658,5,5.185518182179948
AMENITY_COUNT,Número de equipamientos,EQUIPAMIENTOS_Y_TIPOLOGIA,0.04550447836617899,0.002427970338084422,0.041847240179777145,0.0895584523677826,6,3.7295415286855405
CADASTRALQUALITYID,Calidad catastral,CARACTERISTICAS_CATASTRALES_Y_EDIFICIO,0.04123503459961891,-0.0006099195070107401,0.037941332906484604,0.07987306714057926,7,3.379618435322312
LOG_CONSTRUCTEDAREA,Logaritmo de la superficie construida,CARACTERISTICAS_FISICAS,0.03663172400036793,0.0034465194263542625,0.02633332833647728,0.08350974842906007,8,3.0023316568388774
ciudad,Ciudad,GEOGRAFIA,0.03638177222372698,-0.015290289394158338,0.018411756493151188,0.08698228225111963,9,2.981845639536369
HASLIFT,Ascensor,EQUIPAMIENTOS_Y_TIPOLOGIA,0.033422397784667,0.005709054228583617,0.028629353269934654,0.059464660286903386,10,2.7392956693864425
CITY_PERIOD,Combinación ciudad y periodo,TIEMPO,0.026280621629363548,-0.008118535253729317,0.01652436889708042,0.057852986827492715,11,2.1539565617618814
BUILTTYPEID_2,Tipo de edificio 2,EQUIPAMIENTOS_Y_TIPOLOGIA,0.0255178613042725,7.646933242323853e-05,0.016093104146420956,0.06814637035131454,12,2.091440818015325
LONGITUDE,Longitud aproximada,GEOGRAFIA,0.0250439910391007,-0.0011802024607248183,0.02009370643645525,0.05281711742281914,13,2.052602468546825
FLOORCLEAN,Planta corregida,CARACTERISTICAS_FISICAS,0.019244262242077422,0.002122950187040693,0.010116248857229948,0.052048284932971006,14,1.57725739966041
PROPERTY_AGE,Antigüedad de la vivienda,CARACTERISTICAS_FISICAS,0.019058573186266584,5.1135607413709206e-05,0.015754738822579384,0.03362418748438359,15,1.5620383471641692
LOG_DISTANCE_TO_URBAN_AXIS,Logaritmo de la distancia al eje urbano,GEOGRAFIA,0.016735370833213806,0.00021260396822115235,0.017172127030789852,0.028034894168376925,16,1.3716289640365047
PERIOD_MONTH,Mes del anuncio,TIEMPO,0.013589570926564452,-0.0006635425378767867,0.012449356727302074,0.023179690167307854,17,1.1137995851702718
HASSWIMMINGPOOL,Piscina,EQUIPAMIENTOS_Y_TIPOLOGIA,0.01267939904138378,-0.0036694447156073043,0.008064259309321642,0.02559007201343775,18,1.0392020078349762
LOG_DISTANCE_TO_CITY_CENTER,Logaritmo de la distancia al centro,GEOGRAFIA,0.012256020509346507,0.0027226218148678613,0.010651166085153818,0.023471771925687807,19,1.0045019546911844
HASPARKINGSPACE,Aparcamiento,EQUIPAMIENTOS_Y_TIPOLOGIA,0.01050595180522318,-0.0012663235662538292,0.0073541561141610146,0.026064161397516727,20,0.8610665359273915
